id,rated,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
gvHIZGRz,FALSE,white,10+5,oreo_or_orion,1616,lengah,1657,e4 b6,B00,Owen Defense,2
jlxDAOJz,TRUE,black,10+0,metinnazlioglu,1499,fernholz,1449,e4 d5 d4 dxe4 f3,D00,Blackmar-Diemer Gambit: Gedult Gambit,5
5XB5ikrX,TRUE,black,20+0,xx_domi_xx,1405,uriellaurito,1365,e4 e5 Bb5,C20,Portuguese Opening,3
bDcOkAPl,TRUE,white,8+0,xx_domi_xx,1302,coco2016,1351,e4 c5 Qg4,B20,Sicilian Defense: Amazon Attack,3
3X0AZRrG,TRUE,black,20+3,greenmachine,989,glonnee,1658,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5,C45,Scotch Game: Classical Variation,8
jkwZJXbo,TRUE,black,20+3,greenmachine,989,glonnee,1658,e4 e5 Qh5,C20,King's Pawn Game: Wayward Queen Attack,3
QHrQCRDT,TRUE,black,10+10,chingisl,1610,greenmachine,989,d4 e5,A40,Englund Gambit,2
RzfhITm1,TRUE,white,10+10,greenmachine,989,chingisl,1610,e4 d5,B01,Scandinavian Defense,2
yfRbI6de,TRUE,white,15+10,egberttalens,1538,greenmachine,991,e4 e5 Nf3,C40,King's Knight Opening,3
VJC41GsP,TRUE,black,15+0,greenmachine,1003,lukyin,1246,e4 e5 Qh5,C20,King's Pawn Game: Wayward Queen Attack,3
y44Msw6h,TRUE,white,5+5,greenmachine,958,chipie1952,1274,e4 e5 Qh5,C20,King's Pawn Game: Wayward Queen Attack,3
0bPTSsbm,FALSE,white,60+0,labrute,1500,greenmachine,963,e3,A00,Van't Kruijs Opening,1
L2WDlZ14,FALSE,black,60+0,greenmachine,963,chris5150,1500,d4 d6 e4,B07,Pirc Defense #5,3
qttdAohZ,TRUE,black,15+15,greenmachine,978,vaka-waka,1179,d4 g6 e4 d6 Nf3 Bg7 Nc3 Nf6,B08,Pirc Defense: Classical Variation,8
odAh8cU9,TRUE,white,15+15,vaka-waka,1172,greenmachine,996,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
gvu9qK9U,TRUE,black,15+15,greenmachine,1032,stailetyat,1011,b4,A00,Polish Opening,1
4gQXomxa,TRUE,white,15+15,hossein2611,1142,greenmachine,1061,e3,A00,Van't Kruijs Opening,1
Ae98zqc9,FALSE,white,10+0,tenderheartpirate,1424,greenmachine,1061,e4 g5 d4 Bg7,B00,Borg Defense: Borg Gambit,4
bZH0elxT,TRUE,draw,45+4,t3v3a3d,1691,lcover,1451,e4 c5 f4,B21,Sicilian Defense: McDonnell Attack,3
Mn1LbgKu,TRUE,white,5+8,ivan86,1471,lcover,1461,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3
U8iQ7CIG,TRUE,black,10+10,nicopeintre06,1440,lcover,1451,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3
1GuRu7tH,TRUE,draw,10+10,lcover,1450,megomaf,1468,e4 e6 d4,C00,French Defense: Normal Variation,3
agFTttls,TRUE,black,10+10,lcover,1455,chessplaye,1679,e4 e5 Nf3 d6 d4 exd4 Nxd4 Nf6,C41,Philidor Defense: Exchange Variation,8
7wHFeyVw,TRUE,draw,10+10,lcover,1454,pwalter,1489,e4 e5 Nf3 Nc6 Nc3,C46,Three Knights Opening,5
9nhiwIrc,TRUE,black,10+10,yak42,1508,lcover,1440,e4 c5 d4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
ZzVYVfuL,TRUE,white,10+10,lcover,1425,katerina1965,1576,e4 e6 d4 d5 exd5,C01,French Defense: Exchange Variation,5
c8ceBA8I,TRUE,draw,10+10,katerina1965,1580,lcover,1420,Nf3 d5 d4 Nc6,D02,Queen's Pawn Game: Chigorin Variation,4
3HrE4c5P,TRUE,draw,10+10,lcover,1418,ahmedsalah88,1480,e4 b6,B00,Owen Defense,2
hNrlM8wk,TRUE,black,10+10,andrey33,1545,lcover,1402,c4 e5,A20,English Opening: King's English Variation,2
6ogtGrQt,TRUE,white,10+10,lcover,1392,inggio,1332,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5,B94,Sicilian Defense: Najdorf Variation,11
06N5Bbxe,TRUE,white,10+10,lcover,1382,srathor,1388,e4 e5 Nf3 Nc6 Nc3 Nf6 d4 exd4,C47,Four Knights Game: Scotch Variation Accepted,8
TYJHQxJo,TRUE,white,10+10,stlan,1347,lcover,1395,e4 c5 Nc3,B23,Sicilian Defense: Closed Variation,3
7dpio6EA,FALSE,white,10+10,lcover,1395,agentbouncyball,1367,e4 e5 Nf3 Nc6 d4,C44,Scotch Game,5
4Ilewq2c,TRUE,black,15+15,lcover,1418,moiachille,1472,e4 Nc6 Nf3 d6,B00,Nimzowitsch Defense: Williams Variation,4
kTSNXSyN,TRUE,black,15+15,lcover,1423,pasha123_321,1645,e4 c5 f4,B21,Sicilian Defense: McDonnell Attack,3
HYqtCTUD,FALSE,white,15+15,killerkitten,1500,lcover,1423,d4,A40,Queen's Pawn,1
6lNhqUra,TRUE,black,20+30,adamzhorzhevych,1457,lcover,1418,e4 c5 Nf3 d6 Bb5+ Bd7,B52,Sicilian Defense: Canal Attack |  Main Line,6
LYQNu2PW,TRUE,black,15+0,lcover,1421,malucodoido,1754,e4 e5 Nf3 Nc6 d4 exd4 Nxd4,C45,Scotch Game,7
5n6kPydD,TRUE,white,45+5,velvetgreen,1464,lcover,1432,e4 e5 Qh5 Nf6,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
t0CE1yBT,TRUE,white,15+15,spicybeef189,1363,lcover,1447,d4,A40,Queen's Pawn,1
p9Wt9VAc,TRUE,white,45+0,pierreleblanc,1653,lcover,1453,d4,A40,Queen's Pawn,1
1ziuafFK,TRUE,white,20+10,izaulima,1710,lcover,1460,d4 c6 c4 d5 Nc3,D10,Slav Defense #2,5
w9Al2iTR,TRUE,black,20+10,lcover,1465,izaulima,1706,e4 e5 Nf3 Nf6 Nxe5 d6 Nc4,C42,Russian Game: Paulsen Attack,7
xp8EzRTz,TRUE,white,20+10,izaulima,1701,lcover,1470,d4 d5 c4 Bf5,D02,Queen's Gambit Refused: Baltic Defense,4
ijqdXHbW,TRUE,white,20+30,mrmist,1554,lcover,1479,d4,A40,Queen's Pawn,1
7goJ1hPy,TRUE,black,20+30,lcover,1488,kresevica,1591,e4 e5 Nf3 Nc6 Bb5 Nf6 Nc3 Bc5,C48,Four Knights Game: Spanish Variation |  Classical Variation,8
gUjm6t9I,TRUE,white,20+30,souayahmustafa,1579,lcover,1497,e4 c6 Nf3 d5 Nc3 Bg4,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
WB7GBnxy,TRUE,white,20+30,lcover,1482,enthusiast,1537,e4 c5,B20,Sicilian Defense,2
GkNVnmLX,TRUE,black,20+30,zainescu,1528,lcover,1468,e4 c6 d4 d5 e5 Bf5 Nf3,B12,Caro-Kann Defense: Advance Variation |  Short Variation,7
gibYkoMf,TRUE,draw,20+30,lcover,1467,adzril78,1501,e4 e5 Nf3 d6,C41,Philidor Defense #2,4
ZhuaP7Cb,TRUE,draw,20+30,mkovalev,1559,lcover,1472,d4 c6 c4 d5 Nf3,D11,Slav Defense: Modern Line,5
YU7Vq2rX,TRUE,black,20+30,giveupthegoods,1549,lcover,1456,c4 c6,A11,English Opening: Caro-Kann Defensive System,2
JA42uHSg,TRUE,black,30+0,kingthechess2017,1436,lcover,1434,d4,A40,Queen's Pawn,1
uFRVhZHQ,TRUE,white,60+0,urakov,1858,lcover,1436,e4 c6 Nf3 d5 Nc3 Bg4 h3 Bxf3,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation |  Exchange Line,8
kwU2e5VH,TRUE,draw,20+30,lcover,1431,random4266,1585,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6,C45,Scotch Game: Schmidt Variation,8
67MAWTpZ,TRUE,black,20+30,lcover,1443,blackshelter,1471,e4 e5 Nf3 Nc6 d4,C44,Scotch Game,5
TRlkjUev,TRUE,white,10+0,o4leaf,1661,samuelpro,1132,e4 e5 Nf3 Qf6,C40,King's Pawn Game: McConnell Defense,4
gNUEOfkV,TRUE,black,10+0,javad7777,1073,samuelpro,1135,e3,A00,Van't Kruijs Opening,1
5kY5WUxA,TRUE,white,10+0,whitegaba,1551,samuelpro,1142,e4 e5 Qh5,C20,King's Pawn Game: Wayward Queen Attack,3
iYziFDHN,TRUE,black,5+10,samuelpro,1155,yriibass,1483,e4 e5 Bc4 Nf6 Nf3,C42,Russian Game: Urusov Gambit,5
XuoIw7SF,TRUE,white,10+10,mednikov,1780,samuelpro,1157,e4 e5 Nf3 Nf6 Nc3,C42,Russian Game: Three Knights Game,5
BPrTBmfm,TRUE,black,10+0,samuelpro,1157,critico-82,2312,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3
23Xso018,TRUE,black,10+0,samuelpro,1164,luupuus,1616,e4 e5 Bc4,C23,Bishop's Opening,3
6KY3n0LE,TRUE,white,10+0,cullarvega,1563,samuelpro,1173,d4 e6 c4 Bb4+,E00,Kangaroo Defense,4
0LWknSSP,TRUE,white,10+0,akamil1982,1805,samuelpro,1176,d4 e6,A40,Horwitz Defense,2
NXMwlV8w,TRUE,black,10+0,samuelpro,1209,derya-66,1320,e4 e5 Bc4,C23,Bishop's Opening,3
4GkqU1PE,TRUE,black,8+10,samuelpro,1215,kolphire,1703,e4 e5 Bc4 Bc5,C20,Bishop's Opening: Boi Variation,4
FHY8r25U,TRUE,black,6+3,peachunited,1515,samuelpro,1127,d4 e6 c4 Bb4+,E00,Kangaroo Defense,4
6dzSqqDm,TRUE,white,6+3,samuelpro,1002,peachunited,1534,e4 e5 Bc4,C23,Bishop's Opening,3
nWXlyNgg,TRUE,black,10+0,samuelpro,1009,pablog2200,1513,d3 Nf6 e4,B02,Alekhine Defense: Maroczy Variation,3
r7yRPKaY,TRUE,white,10+0,pablog2200,1511,samuelpro,1017,e4 e6 Nf3,C00,French Defense: Knight Variation,3
zikC2jbx,TRUE,black,10+0,samuelpro,1027,pablog2200,1509,d3 Nf6 e4,B02,Alekhine Defense: Maroczy Variation,3
vquNGkFY,TRUE,white,10+180,magic007,1264,samuelpro,1064,e4 e6 Nf3,C00,French Defense: Knight Variation,3
GrqcLH8a,TRUE,black,20+5,samuelpro,1072,falsus,1625,d3,A00,Mieses Opening,1
OEPRYdOo,TRUE,black,90+0,samuelpro,1073,pimag-45,1939,d3 e5 e4,C20,King's Pawn Game: Leonardis Variation,3
04EIrpaP,TRUE,white,15+0,hairy-conniption,1793,samuelpro,1076,e4 e6 d4 d5 exd5,C01,French Defense: Exchange Variation,5
K1AmmvZe,TRUE,white,5+10,davidsursuippe,1374,samuelpro,1115,e4 e6 d4 d5,C00,French Defense,4
ikYC1Cge,TRUE,white,5+10,maxzana,1539,samuelpro,1136,e4 e6 d4 d5 e5,C02,French Defense: Advance Variation #3,5
gDTGX1e3,TRUE,black,6+10,samuelpro,1149,spetchess,1677,d3,A00,Mieses Opening,1
S0JaS1jI,TRUE,white,10+3,gigimargadecolmar,1535,samuelpro,1182,e4 e6 e5,C00,French Defense: Steinitz Attack,3
wGdnRsMi,FALSE,black,180+0,michele2611,1500,samuelpro,1182,e4 e6,C00,French Defense #2,2
2guqueuz,TRUE,white,5+10,samuelpro,856,wpao,1541,d3,A00,Mieses Opening,1
3OsAGS9G,TRUE,black,10+0,mohamedn,1435,shakes,2042,d4 d5 Nf3 Nf6 e3,D04,Queen's Pawn Game: Colle System,5
4UFFLmI2,TRUE,white,10+0,turan07,1828,mohamedn,1500,e4 e5 Nf3 d6 d4 exd4 Nxd4,C41,Philidor Defense: Exchange Variation #2,7
Pk2nmQn3,TRUE,black,15+0,hugues2908,1353,morrsze,1207,d4 g6 e4 Bg7 Bc4,B06,Modern Defense: Bishop Attack,5
4dp5wc6k,TRUE,white,15+2,hugues2908,1347,jorge-cadavid,1013,d4 e6,A40,Horwitz Defense,2
Bx5pQZS2,TRUE,white,15+8,hugues2908,1334,berlin64,1183,d4,A40,Queen's Pawn,1
4j23HSvb,TRUE,black,10+0,omar78,1079,hugues2908,1325,e4 d5,B01,Scandinavian Defense,2
xIgF0GHg,TRUE,white,15+0,hugues2908,1314,elhafdi,1099,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
HDwrruYt,TRUE,black,5+6,chessgeorge,1052,hugues2908,1304,d4 d5,D00,Queen's Pawn Game,2
vsF01Ilj,FALSE,black,10+5,carlosamadorsanchez,1100,iwikipedia,1393,d4 Nf6 Bg5 d5 Nc3,D01,Richter-Veresov Attack,5
Ej83SRXe,FALSE,white,10+5,iwikipedia,1393,carlosamadorsanchez,1100,e4 d5 f3 c6 d4,B12,Caro-Kann Defense: Maroczy Variation,5
KthS3NHV,FALSE,black,10+5,carlosamadorsanchez,1100,iwikipedia,1393,d4 c5 dxc5,A43,Benoni Defense: Benoni Gambit Accepted,3
OFZmzWlK,TRUE,black,10+5,the_fran000,1027,carlosamadorsanchez,1084,e4 d5 exd5 Qxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
wzK25t8a,TRUE,white,10+5,carlosamadorsanchez,1065,the_fran000,1073,d4 d5 e4 dxe4 f3,D00,Blackmar-Diemer Gambit: Gedult Gambit,5
PxGfMtaL,TRUE,white,10+5,ricsiblanka,1085,carlosamadorsanchez,1082,d4 d5 Qd3,D00,Amazon Attack,3
Mc4QPdAb,TRUE,black,10+5,carlosamadorsanchez,1104,mind123,1057,d4 c6 e4 d5 f3,B12,Caro-Kann Defense: Maroczy Variation,5
R6EEI3vY,TRUE,black,10+5,carlosamadorsanchez,1130,ulflyder,1019,e4 e6 d4 d6,C00,Rat Defense: Small Center Defense,4
70uokwwk,TRUE,white,10+5,fatalrhyme,1125,carlosamadorsanchez,1153,e4 d5,B01,Scandinavian Defense,2
pO09f3QT,TRUE,white,10+5,carlosamadorsanchez,1152,trilemma,1159,e4 e5 d4,C21,Center Game #2,3
7DOaoGeV,TRUE,white,10+5,carlosamadorsanchez,1112,phuckhu,1283,e4 d5,B01,Scandinavian Defense,2
7zT7fKqD,TRUE,black,10+0,carlosamadorsanchez,1141,nayef-26,1098,e4 e5 d3,C20,King's Pawn Game: Leonardis Variation,3
N2tZep3s,TRUE,white,10+0,nayef-26,1080,carlosamadorsanchez,1177,e4 d5,B01,Scandinavian Defense,2
D4j02rF3,TRUE,white,10+0,scottgodzaza,1152,carlosamadorsanchez,1206,d3,A00,Mieses Opening,1
zTjFt9eg,TRUE,black,10+0,fildascz,1145,carlosamadorsanchez,1174,e4 d5,B01,Scandinavian Defense,2
Z8KhVENm,TRUE,black,10+0,carlosamadorsanchez,1205,raimondsr,1199,e4 Nf6 e5 Nd5,B02,Alekhine Defense: Normal Variation,4
3Twh2m6V,TRUE,draw,10+0,carlosamadorsanchez,1216,nstriker3652,1093,e4 c5 d4 e6,C00,Queen's Pawn Game: Franco-Sicilian Defense,4
pr10qXl4,TRUE,black,10+0,alle915,1141,carlosamadorsanchez,1175,e4 d5,B01,Scandinavian Defense,2
kLRjKHJX,TRUE,black,10+0,amoranguzman,1018,carlosamadorsanchez,1142,e4 d5,B01,Scandinavian Defense,2
3j0kRr01,TRUE,black,10+0,carlosamadorsanchez,1208,levdavidovich,1140,e4 e5 d4 exd4 Qxd4 Nc6,C22,Center Game: Normal Variation,6
BqMaxwMW,TRUE,black,10+0,djbaseball46,1195,carlosamadorsanchez,1123,e4 e5 Nf3 f5,C40,Latvian Gambit,4
sZIfqpML,TRUE,black,10+0,carlosamadorsanchez,1221,firstrow,1168,e4 d5 d4 dxe4 f3,D00,Blackmar-Diemer Gambit: Gedult Gambit,5
LdYg0yf4,TRUE,black,10+0,megashira,1054,carlosamadorsanchez,1384,e4 e5 Bc4 d5,C23,Bishop's Opening: Khan Gambit,4
KbK72fSq,TRUE,white,15+15,cristianoconcurseiro,1703,kasparovd0311,1484,e4 e6 d4 d5 exd5,C01,French Defense: Exchange Variation,5
1Zod3Qv9,TRUE,white,15+15,kasparovd0311,1455,prabhakar123,1427,e4 e6 d4 d5 e5,C02,French Defense: Advance Variation #3,5
8FwaEnWw,TRUE,white,15+15,kasparovd0311,1433,giannispolyhrono,1306,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4,C80,Ruy Lopez: Open |  6.d4,11
M4Vt1w6F,TRUE,black,15+10,kasparovd0311,1469,aycockd1,1476,e4 d5 exd5 Nf6,B01,Scandinavian Defense: Modern Variation #2,4
6iuCD2Ei,TRUE,white,7+2,valfon,1785,kasparovd0311,1481,e4 e6 Nf3,C00,French Defense: Knight Variation,3
GNpQjE1K,TRUE,black,7+2,mariale200,1315,kasparovd0311,1455,e4 e6 d4 d5 e5 c5 c3,C02,French Defense: Advance Variation #2,7
EqKRhO8u,TRUE,black,7+2,kasparovd0311,1466,pinha,1815,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6,B90,Sicilian Defense: Najdorf Variation,10
vQq60Hur,TRUE,draw,7+2,manipin,1585,kasparovd0311,1448,e4 e6 Nc3,C00,French Defense: Queen's Knight,3
aC8flIBR,FALSE,draw,20+0,ajps17,1907,kasparovd0311,1448,Nf3 Nc6 c4 e5 Nc3 Nf6 d3,A28,English Opening: King's English Variation |  Four Knights Variation |  Flexible Line,7
u8RQmlwz,TRUE,draw,15+5,lapeque,1291,kasparovd0311,1451,e4 e6 d4 d5 e5 c5 c3,C02,French Defense: Advance Variation #2,7
Vg2JcMOE,TRUE,black,7+2,julianny10,1278,kasparovd0311,1406,e4 e6 d4 d5,C00,French Defense,4
jRv30KI1,TRUE,black,7+2,kasparovd0311,1515,catire25,1404,e4 e6 d4 d5 e5,C02,French Defense: Advance Variation #3,5
vwkSIpZ0,TRUE,white,7+2,kasparovd0311,1473,chees29,1221,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7,C84,Ruy Lopez: Closed Variations,10
BQTkPWBJ,TRUE,white,7+2,manipin,1610,kasparovd0311,1599,e4 e6 Nc3,C00,French Defense: Queen's Knight,3
PsbhpAh5,FALSE,black,20+0,ajps17,1907,kasparovd0311,1599,Nf3 Nc6 c4 e5 Nc3 Nf6 d3,A28,English Opening: King's English Variation |  Four Knights Variation |  Flexible Line,7
O4Gkxrm5,TRUE,black,15+5,mariale200,1299,kasparovd0311,1500,e4 e6 d4 d5 e5 c5 c3,C02,French Defense: Advance Variation #2,7
fFpgwcvI,TRUE,black,120+0,ufuk53,1430,lij-y,1500,d4 Nc6 e4,B00,King's Pawn Game: Nimzowitsch Defense,3
pBuPv1LC,TRUE,black,10+3,yuriy_yosyfovych,1576,nablus,1500,e4 Nc6 Nf3,B00,Nimzowitsch Defense |  Declined Variation,3
oUloSjk9,FALSE,white,5+8,yriy555,1901,nablus,1500,e4 e5 Qf3,C20,King's Pawn Game: Napoleon Attack,3
1tMjtQVi,TRUE,white,9+2,chees29,1093,rockmastard,1119,e4 e5 Nf3 d6,C41,Philidor Defense #2,4
825PEe6m,TRUE,black,10+5,chees29,1117,royas,898,e4 e5 Nf3 d6 d4 Nf6,C41,Philidor Defense: Nimzowitsch Variation #2,6
jyj9GNQc,TRUE,white,30+7,vladimir56,1169,chees29,1133,e4 e5 d4 Nc6 d5,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
0IqJXRdN,TRUE,white,10+5,chees29,1106,wasaabi23,1273,e4 e5 Nf3 Nc6 Bb5 Nge7,C60,Ruy Lopez: Cozio Defense,6
dVv7I3rg,TRUE,white,15+1,diptargho,1251,chees29,1119,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 bxc6,C68,Ruy Lopez: Exchange Variation |  Lutikov Variation,8
Wr703cq9,TRUE,black,15+0,chees29,1128,bo32,1347,e4 e5 Nf3 d6,C41,Philidor Defense #2,4
kwM24ID4,TRUE,black,10+3,chees29,1146,kavkav9876,1355,e4 e5 Nf3 Nc6 d4,C44,Scotch Game,5
XVUC5dgy,TRUE,black,10+3,shaka88,1254,chees29,1116,e4 e5 Nf3 Nc6,C44,King's Knight Opening: Normal Variation,4
76zYX31c,TRUE,white,10+3,tashy,1228,chees29,1133,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3
oJxtaZV1,TRUE,white,10+0,ahmed_chess11,1705,chees29,1135,e4 e5 Nf3 Nc6 Bc4,C50,Italian Game,5
BWPCyxLM,TRUE,black,10+0,chees29,1158,lagrandevero,1306,e4 Nc6 d4,B00,King's Pawn Game: Nimzowitsch Defense,3
bqAChXeW,TRUE,white,10+0,chessinprogress,1759,chees29,1163,e4 e5 Nf3 Nc6 Bc4,C50,Italian Game,5
L2JqD5Mo,TRUE,black,10+0,chees29,1167,toliklunev,1627,e4 e5 Nf3 Nc6 Bb5 Nd4,C61,Ruy Lopez: Bird Variation,6
VIOfFX1W,TRUE,white,10+0,pbjtraining,2023,chees29,1168,c4 e5,A20,English Opening: King's English Variation,2
3mXiVTP1,TRUE,white,7+2,catire25,1426,chees29,1178,e4 e6 d4 d5 exd5,C01,French Defense: Exchange Variation,5
Xuhpjead,TRUE,black,7+2,chees29,1200,lapeque,1252,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O a6 Ba4 Be7 Re1 O-O d4 b5 Bb3 d6 c3,C91,Ruy Lopez: Closed Variations |  Yates Variation,17
QPafD7XB,TRUE,white,7+2,catire25,1427,chees29,1213,e4 e5 Nf3 Nc6 Bb5 a6 Ba4,C68,Ruy Lopez: Columbus Variation,7
vPCaf9T4,TRUE,black,7+2,lapeque,1303,chees29,1175,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7,C84,Ruy Lopez: Closed Variations,10
51oRNCU0,TRUE,draw,15+0,chees29,1155,catire25,1424,e4 e6 d4 d5 Nc3 Nf6,C11,French Defense: Classical Variation,6
ylCsKCVo,FALSE,black,20+0,chees29,1155,ajps17,1907,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5 Bb3 Be7 Re1 d6 d4,C88,Ruy Lopez: Closed Variations |  Rosen Attack,15
3yey4Fqp,TRUE,draw,7+2,chees29,1170,lapeque,1302,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Be7 Re1 O-O h3 a6 Ba4 b5 Bb3 d6 c3 Bb7,C92,Ruy Lopez: Closed Variations |  Flohr System,18
uBiBXa79,TRUE,black,7+2,chees29,1173,sunilsb,1718,e4 e6 d4 d5,C00,French Defense,4
W0Db2z2k,TRUE,white,7+2,lapeque,1278,chees29,1204,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 b5 Bb3 Na5,C70,Ruy Lopez: Morphy Defense |  Norwegian Variation,10
ft5Pp17d,TRUE,black,7+2,chees29,1264,mariale200,1288,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 O-O d4 d6 c3,C91,Ruy Lopez: Closed Variations |  Yates Variation,17
c05Ztnte,FALSE,black,20+0,ajps17,1907,chees29,1264,d4 Nc6,A40,Mikenas Defense,2
4IuaZ0ta,TRUE,draw,15+5,catire25,1420,chees29,1239,e4 e5 Nf3 Nc6 Bc4,C50,Italian Game,5
3c1ok8Yr,TRUE,black,15+5,chees29,1277,catire25,1409,e4 e6 d4 d5 Nc3 Nf6,C11,French Defense: Classical Variation,6
nJLGbyL8,TRUE,white,20+10,carlosgodot,1804,chees29,1284,e4 e5 Nf3 Nc6 Bc4,C50,Italian Game,5
tUP12rDG,TRUE,black,14+4,chees29,1406,sassenach2,1404,e4 c5 d4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
AmuzHx3I,TRUE,white,15+5,chees29,1231,pogo78,1516,e4 d5 exd5 Qxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
bEf35R0X,TRUE,white,15+5,brane1974,1466,chees29,1303,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6,C68,Ruy Lopez: Exchange Variation,7
Qya11t2E,TRUE,black,15+5,chees29,1500,brane1974,1458,e4 e5 Nf3 Nf6,C42,Petrov's Defense,4
Zm945lDd,TRUE,white,30+5,monstruodelnorte,1127,jcv29,1234,c4 e5 Nc3 Nf6,A22,English Opening: King's English Variation |  Two Knights Variation,4
AzJTzHod,TRUE,white,30+5,barack01,1242,monstruodelnorte,1162,e4 g6,B06,Modern Defense,2
e9qGUJ91,TRUE,white,30+5,monstruodelnorte,1104,canumutcan,1168,c4 e5 Nc3 Nc6 Nf3 Nf6 e3,A28,English Opening: King's English Variation |  Four Knights Variation |  Quiet Line #3,7
3vtY3ASM,TRUE,black,30+5,monstruodelnorte,1138,planard,1276,c4 e5 Nc3,A21,English Opening: King's English Variation |  Reversed Sicilian,3
ALlD4o2m,TRUE,black,30+5,monstruodelnorte,1186,atayi,1283,c4 e5 Nc3 Nc6 Nf3,A27,English Opening: King's English Variation |  Three Knights System,5
yPfKCLif,TRUE,black,30+5,monstruodelnorte,1256,kazik190857,1301,c4 e5 Nc3 Nc6 Nf3,A27,English Opening: King's English Variation |  Three Knights System,5
eku5TSQx,TRUE,white,30+5,monstruodelnorte,1102,cheikh35,1301,c4 c5,A30,English Opening: Symmetrical Variation,2
G3BaMN6r,TRUE,black,20+5,monstruodelnorte,1205,plky,1279,c4 e5 Nf3 e4,A20,English Opening: King's English Variation |  Nimzowitsch-Flohr Variation,4
E2JLJVld,FALSE,white,10+0,hakimlbh,1311,monstruodelnorte,1205,b3 e5 Bb2,A01,Nimzo-Larsen Attack: Modern Variation #2,3
klqUWVgc,TRUE,black,15+5,monstruodelnorte,1500,nuntiatusknight,1311,e4 e5 Nf3 Qf6,C40,King's Pawn Game: McConnell Defense,4
uJtX85el,TRUE,black,30+30,rescinded,1676,journey_to_nm,2003,d4 d5 c4 c6 Nc3,D10,Slav Defense #2,5
nupRA4Bz,TRUE,white,30+30,journey_to_nm,2001,nadgob,1571,e4 e5 Nf3 Nc6 d4 exd4 Bc4,C44,Scotch Game: Scotch Gambit,7
ny8Pz7Fs,FALSE,black,10+0,arbal,1629,journey_to_nm,2001,e4 d5,B01,Scandinavian Defense,2
atvrScaB,FALSE,white,10+3,mrzoom47,1582,xblazin_grape,1079,e4 e5 Nf3 Nc6 Bc4,C50,Italian Game,5
xCrd3EaK,FALSE,white,10+3,mrzoom47,1582,xblazin_grape,1079,e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 c3,C53,Italian Game: Classical Variation |  Albin Gambit,9
77yTce6t,FALSE,black,5+5,xblazin_grape,1079,mrzoom47,1582,Nf3 d5 d4 c5,D02,Queen's Pawn Game: Krause Variation,4
AGMT1ZTP,FALSE,white,5+5,mrzoom47,1582,borreebuckets,1410,Nc3,A00,Van Geet Opening,1
H6EQo623,FALSE,black,5+5,borreebuckets,1410,mrzoom47,1582,d4 Nf6,A45,Indian Game,2
qlNIjhKy,FALSE,black,5+5,borreebuckets,1500,mrzoom47,1582,d4 Nf6,A45,Indian Game,2
Cck7F1i6,FALSE,white,5+5,mrzoom47,1582,borreebuckets,1500,e4 Nf6 e5 Nd5 c4,B02,Alekhine Defense: Two Pawn Attack,5
AubEAn9O,FALSE,black,5+5,borreebuckets,1500,mrzoom47,1582,d3 e5 e4,C20,King's Pawn Game: Leonardis Variation,3
dQsjcqkA,FALSE,white,5+5,mrzoom47,1582,borreebuckets,1500,d4 d5 c4 Nc6 Nc3 dxc4,D07,Queen's Gambit Refused: Chigorin Defense #3,6
RUcEMTch,FALSE,black,5+5,xblazin_grape,1143,mrzoom47,1591,e4 e6,C00,French Defense #2,2
